,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
20879,2012-05-05 08:29:02.0000001,11.3,2012-05-05 08:29:02 UTC,-73.97967,40.750036,-73.977289,40.784514,3
68237,2010-10-13 08:01:00.00000092,3.3,2010-10-13 08:01:00 UTC,-73.976772,40.75582,-73.974622,40.759733,5
41028,2013-02-01 20:16:00.000000304,14.0,2013-02-01 20:16:00 UTC,-73.97863000000002,40.744897,-74.00633499999998,40.722905,1
91190,2014-11-20 19:05:42.0000004,12.0,2014-11-20 19:05:42 UTC,0.0,0.0,0.0,0.0,1
8018,2015-05-13 19:09:26.0000002,15.0,2015-05-13 19:09:26 UTC,-73.95890808105469,40.76381301879883,-73.9931411743164,40.764461517333984,1
77291,2011-03-23 22:40:00.000000232,8.1,2011-03-23 22:40:00 UTC,-74.006222,40.733027,-73.992147,40.758223,1
81423,2010-06-09 01:06:00.00000019,5.3,2010-06-09 01:06:00 UTC,-73.964973,40.756943,-73.956313,40.771422,1
32789,2010-11-02 07:17:00.000000174,4.9,2010-11-02 07:17:00 UTC,-73.973675,40.757065,-73.978902,40.762217,1
51607,2009-04-29 08:29:27.0000001,7.3,2009-04-29 08:29:27 UTC,0.0,0.0,0.0,0.0,1
42028,2009-09-18 09:46:31.0000001,3.7,2009-09-18 09:46:31 UTC,-74.00010400000002,40.748459,-73.99528199999997,40.749522,1
37092,2013-12-19 05:30:00.0000003,27.0,2013-12-19 05:30:00 UTC,-73.99208,40.76417,-73.86473000000002,40.77029,1
45994,2015-03-09 06:37:27.0000003,12.0,2015-03-09 06:37:27 UTC,-74.01517486572266,40.71623229980469,-73.98529815673827,40.75343704223633,1
56523,2009-05-08 23:47:56.0000001,10.9,2009-05-08 23:47:56 UTC,-73.992246,40.719866,-73.972229,40.747365,2
69778,2011-06-04 13:57:00.00000071,6.9,2011-06-04 13:57:00 UTC,-73.86184200000002,40.76841500000001,-73.8855,40.773182,1
26034,2012-08-22 21:38:00.00000051,42.1,2012-08-22 21:38:00 UTC,0.0,0.0,0.0,0.0,2
84569,2010-07-10 13:30:00.00000017,49.57,2010-07-10 13:30:00 UTC,-73.791088,40.645688,-73.985417,40.758415,3
74379,2010-05-16 02:53:00.00000038,17.7,2010-05-16 02:53:00 UTC,-73.955398,40.773768,-74.011268,40.703273,2
23102,2012-02-08 17:52:00.000000163,10.9,2012-02-08 17:52:00 UTC,-73.98563299999998,40.773067,-73.95625,40.784225,1
89143,2014-04-15 18:03:50.0000002,9.0,2014-04-15 18:03:50 UTC,-73.96113199999998,40.777752,-73.97676700000002,40.790164,1
98307,2010-05-12 17:13:20.0000001,7.7,2010-05-12 17:13:20 UTC,-73.979704,40.735152,-73.994904,40.745628,1
8667,2011-10-08 01:24:00.000000192,10.5,2011-10-08 01:24:00 UTC,-73.97740999999998,40.758248,-73.98249200000002,40.724862,1
35011,2011-08-04 08:46:00.00000048,7.3,2011-08-04 08:46:00 UTC,-73.997598,40.756658,-73.983047,40.757278,1
22629,2009-02-17 22:28:33.0000005,6.6,2009-02-17 22:28:33 UTC,-73.96942299999998,40.785465,-73.949191,40.77874600000001,1
86715,2011-09-18 15:08:38.0000003,6.9,2011-09-18 15:08:38 UTC,-73.954293,40.779037,-73.95575,40.785108,1
31595,2013-07-09 14:50:52.0000007,12.0,2013-07-09 14:50:52 UTC,-74.006689,40.730482,-73.993557,40.768717,2
83366,2013-05-06 18:14:10.0000004,19.5,2013-05-06 18:14:10 UTC,-73.956441,40.775501,-73.990112,40.759156,1
14634,2014-03-22 01:55:10.0000002,7.5,2014-03-22 01:55:10 UTC,-73.977837,40.74607,-73.985174,40.764262,1
31629,2009-12-10 11:43:10.0000004,8.5,2009-12-10 11:43:10 UTC,-73.94725,40.784444,-73.96608499999998,40.799576,2
49893,2009-03-13 10:13:23.0000004,8.1,2009-03-13 10:13:23 UTC,-73.969557,40.766319,-73.959053,40.783337,2
61110,2015-02-23 12:56:42.0000006,12.0,2015-02-23 12:56:42 UTC,-73.9859619140625,40.74931335449219,-73.99268341064453,40.74810791015625,1
27243,2010-02-11 13:17:00.000000173,10.9,2010-02-11 13:17:00 UTC,-73.982208,40.775178,-73.95085300000002,40.820852,1
31490,2010-06-17 13:54:18.0000003,9.7,2010-06-17 13:54:18 UTC,-73.9818,40.759689,-73.980331,40.745248,1
50704,2009-06-10 18:19:00.00000085,12.1,2009-06-10 18:19:00 UTC,-73.991497,40.726205,-73.97379000000002,40.763128,1
99263,2009-08-13 19:55:06.0000002,10.9,2009-08-13 19:55:06 UTC,-73.98575600000002,40.757267,-73.976659,40.788156,1
27541,2012-06-12 17:30:41.0000002,10.5,2012-06-12 17:30:41 UTC,-73.977577,40.779385,-74.002875,40.760471,1
82188,2014-02-10 19:12:00.000000220,19.5,2014-02-10 19:12:00 UTC,-74.01511500000002,40.714162,-73.9822,40.767865,1
97844,2009-03-04 19:15:00.000000162,6.5,2009-03-04 19:15:00 UTC,-73.98174300000002,40.762428,-73.967762,40.757737,1
57672,2014-12-09 23:28:11.0000006,30.5,2014-12-09 23:28:11 UTC,-73.984877,40.75483300000001,-73.84582900000002,40.739706,1
61835,2015-02-20 15:35:17.0000004,42.33,2015-02-20 15:35:17 UTC,-73.86343383789062,40.76966094970703,-74.00320434570312,40.731632232666016,1
95113,2009-12-11 20:19:47.0000002,2.9,2009-12-11 20:19:47 UTC,-73.978554,40.745195,-73.976162,40.748352,3
67821,2011-12-06 12:59:30.0000001,24.9,2011-12-06 12:59:30 UTC,-73.885329,40.773092,-73.976547,40.74884,1
28476,2011-10-13 14:25:00.00000099,5.3,2011-10-13 14:25:00 UTC,-73.95236700000002,40.778148,-73.956672,40.785757,1
75182,2015-03-03 08:15:03.0000004,10.5,2015-03-03 08:15:03 UTC,-73.99317169189453,40.76297378540039,-73.97174835205078,40.75439453125,2
57858,2015-04-20 16:17:26.0000004,30.5,2015-04-20 16:17:26 UTC,-73.87094116210938,40.773643493652344,-74.00135040283203,40.72140121459961,1
22276,2015-03-24 07:36:01.0000005,9.0,2015-03-24 07:36:01 UTC,-73.98118591308595,40.74784469604492,-73.98170471191406,40.764930725097656,2
32119,2013-06-30 20:07:05.0000002,7.5,2013-06-30 20:07:05 UTC,-73.985864,40.75984,-73.984437,40.748575,2
73013,2011-12-16 07:16:24.0000002,10.9,2011-12-16 07:16:24 UTC,-73.949215,40.77328,-73.982421,40.759448,1
58643,2011-10-16 21:14:00.00000092,5.7,2011-10-16 21:14:00 UTC,-73.993422,40.74316500000001,-73.994683,40.727465,1
39066,2011-03-30 04:05:37.0000001,7.7,2011-03-30 04:05:37 UTC,-73.98581800000002,40.726768,-73.98790699999998,40.750604,1
35204,2011-04-02 21:38:59.0000001,14.1,2011-04-02 21:38:59 UTC,-74.009211,40.716988,-73.984498,40.760176,1
48060,2012-12-24 08:34:53.0000001,6.5,2012-12-24 08:34:53 UTC,-73.989065,40.74782800000001,-73.974674,40.764949,1
58860,2012-04-12 20:42:35.0000003,3.7,2012-04-12 20:42:35 UTC,-74.010918,40.710823,-74.00395400000002,40.717563,1
92024,2009-02-02 10:59:00.000000130,10.9,2009-02-02 10:59:00 UTC,-73.990998,40.74537700000001,-73.988665,40.774963,1
83181,2012-01-30 20:18:07.0000002,8.5,2012-01-30 20:18:07 UTC,-73.965733,40.790467,-73.939287,40.805118,0
45986,2015-04-17 15:32:33.0000006,5.5,2015-04-17 15:32:33 UTC,-73.9555130004883,40.7796516418457,-73.9557113647461,40.772315979003906,2
90285,2009-10-01 18:50:50.0000002,9.7,2009-10-01 18:50:50 UTC,-73.947106,40.778753,-73.972372,40.748827,3
35962,2012-10-23 12:32:57.0000002,7.5,2012-10-23 12:32:57 UTC,-74.00399,40.752922,-73.990513,40.741725,1
90069,2011-10-20 12:55:09.0000001,8.1,2011-10-20 12:55:09 UTC,-73.962587,40.775454,-73.980267,40.765704,1
69304,2013-05-08 16:25:00.0000004,6.5,2013-05-08 16:25:00 UTC,-73.997813,40.741127,-73.987422,40.746407,1
62138,2014-10-01 09:23:00.00000083,7.0,2014-10-01 09:23:00 UTC,-73.97362199999998,40.752765,-73.96333,40.76587,1
92505,2013-05-12 20:38:00.000000110,7.0,2013-05-12 20:38:00 UTC,-73.98163199999998,40.77118,-73.97211,40.791517,2
5062,2012-09-13 14:46:00.000000204,13.5,2012-09-13 14:46:00 UTC,-73.981228,40.76968,-73.975637,40.760637,1
50430,2011-05-12 17:42:04.0000003,9.3,2011-05-12 17:42:04 UTC,-73.97595799999998,40.749552,-73.98833,40.743392,1
71064,2011-01-22 23:54:00.000000101,10.9,2011-01-22 23:54:00 UTC,-73.951622,40.777857,-73.93594300000002,40.817187,3
58544,2014-05-10 15:22:00.000000133,12.5,2014-05-10 15:22:00 UTC,-73.972693,40.780747,-73.983947,40.754862,5
17882,2013-05-08 14:17:14.0000001,12.5,2013-05-08 14:17:14 UTC,-73.986231,40.758529,-74.002563,40.721938,1
45851,2009-11-25 00:19:00.0000003,4.9,2009-11-25 00:19:00 UTC,-73.990995,40.737797,-73.996155,40.726657,1
83198,2012-01-13 23:37:00.000000200,10.5,2012-01-13 23:37:00 UTC,-73.954995,40.765302,-73.988687,40.737132,5
75860,2011-09-14 12:30:50.0000002,8.9,2011-09-14 12:30:50 UTC,-74.00399999999998,40.7256,-73.9921,40.7493,2
64234,2012-11-20 11:05:00.00000017,13.5,2012-11-20 11:05:00 UTC,-73.972635,40.763672,-73.980898,40.757973,2
20824,2013-12-06 18:20:59.0000003,10.0,2013-12-06 18:20:59 UTC,-73.984087,40.754821,-73.965905,40.754367,1
70929,2009-02-17 16:05:06.0000001,8.7,2009-02-17 16:05:06 UTC,-73.97625699999998,40.752692,-73.956214,40.767414,1
75743,2014-02-08 12:54:47.0000002,8.5,2014-02-08 12:54:47 UTC,0.0,0.0,0.0,0.0,1
17587,2015-06-12 09:28:27.0000001,21.5,2015-06-12 09:28:27 UTC,-73.97135162353516,40.751258850097656,-74.00392150878906,40.73817825317383,1
78716,2009-08-04 23:50:00.00000067,5.7,2009-08-04 23:50:00 UTC,-73.98917800000002,40.730705,-73.98204799999998,40.739988,1
83014,2011-05-18 11:21:00.00000089,8.1,2011-05-18 11:21:00 UTC,-74.004622,40.74245,-73.994848,40.75030200000001,1
86960,2014-09-29 12:35:58.0000002,35.83,2014-09-29 12:35:58 UTC,-73.885358,40.773056,-73.983216,40.756595,2
45625,2014-01-31 04:57:26.0000001,4.5,2014-01-31 04:57:26 UTC,-73.940107,40.793932,-73.93620899999998,40.802724,1
40415,2010-02-13 16:42:14.0000002,9.7,2010-02-13 16:42:14 UTC,-73.968528,40.767311,-73.989087,40.736149,2
94977,2009-07-22 09:13:00.000000164,8.1,2009-07-22 09:13:00 UTC,-73.94828299999998,40.778235,-73.96614699999998,40.756453,5
85027,2015-01-16 21:18:13.0000006,21.5,2015-01-16 21:18:13 UTC,-73.98255920410156,40.731300354003906,-73.95674896240234,40.73727035522461,1
64061,2014-11-29 14:27:00.000000118,7.0,2014-11-29 14:27:00 UTC,-73.995737,40.696022,-73.9946,40.68496,2
97485,2014-02-22 23:29:00.000000288,14.5,2014-02-22 23:29:00 UTC,-73.990022,40.733082,-73.998575,40.764007,3
1915,2014-06-02 00:13:29.0000001,13.5,2014-06-02 00:13:29 UTC,-73.86559,40.770987,-73.863135,40.737049,1
38653,2015-03-03 18:58:10.0000007,23.5,2015-03-03 18:58:10 UTC,-73.98985290527344,40.7722282409668,-73.99919128417969,40.72126007080078,6
61613,2013-11-10 11:53:34.0000002,5.5,2013-11-10 11:53:34 UTC,0.0,0.0,0.0,0.0,1
22196,2014-06-06 10:37:00.000000196,23.5,2014-06-06 10:37:00 UTC,-74.014577,40.717302,-73.954328,40.7638,1
44902,2011-10-12 18:53:37.0000001,8.9,2011-10-12 18:53:37 UTC,-73.9837,40.7436,-74.0077,40.7405,1
52899,2009-07-16 19:15:00.000000141,4.5,2009-07-16 19:15:00 UTC,-73.96116500000002,40.780567,-73.956677,40.775067,1
61351,2009-07-07 23:09:00.000000134,7.3,2009-07-07 23:09:00 UTC,-73.982773,40.760305,-73.978217,40.741632,1
75942,2011-05-31 16:12:21.0000001,34.1,2011-05-31 16:12:21 UTC,-73.964472,40.807309,-73.872539,40.774313,1
66544,2010-01-14 20:32:00.00000077,11.3,2010-01-14 20:32:00 UTC,-73.98965799999998,40.73867,-73.989067,40.77439,1
21393,2012-09-08 21:24:00.000000134,8.0,2012-09-08 21:24:00 UTC,-74.003072,40.747232,-73.994522,40.734997,1
49186,2009-11-29 09:52:00.00000013,7.3,2009-11-29 09:52:00 UTC,-73.98050500000002,40.769673,-73.97912,40.752627,1
58168,2013-09-01 12:04:49.0000002,8.5,2013-09-01 12:04:49 UTC,-74.001542,40.727925,-73.991737,40.749768,1
39887,2011-08-25 22:33:00.000000219,24.1,2011-08-25 22:33:00 UTC,-74.00128199999997,40.73115,-73.94090200000002,40.84899,1
4684,2012-11-07 11:14:00.000000109,7.0,2012-11-07 11:14:00 UTC,-73.94375,40.711722,-73.95935300000002,40.716257,1
8768,2013-07-25 13:56:09.0000004,10.0,2013-07-25 13:56:09 UTC,-73.979694,40.762279,-73.988555,40.748329,1
80048,2014-06-12 07:22:00.000000142,6.0,2014-06-12 07:22:00 UTC,-73.997555,40.75684,-73.985652,40.752947,6
92037,2014-10-08 17:33:16.0000001,6.5,2014-10-08 17:33:16 UTC,-73.987404,40.732874,-73.99948499999998,40.726308,1
22781,2011-06-14 15:26:00.00000033,2.9,2011-06-14 15:26:00 UTC,-74.003858,40.74811500000001,-74.005558,40.750978,2
11935,2010-04-15 18:13:00.000000125,8.5,2010-04-15 18:13:00 UTC,-73.991507,40.749825,-73.983468,40.762832,1
90647,2010-04-02 21:44:00.00000079,8.1,2010-04-02 21:44:00 UTC,-73.999563,40.738622,-73.986882,40.726738,1
31299,2009-11-17 17:00:00.00000010,3.7,2009-11-17 17:00:00 UTC,-73.98520500000002,40.778568,-73.98182299999998,40.784785,1
20712,2009-10-27 19:13:49.0000005,5.7,2009-10-27 19:13:49 UTC,-73.956564,40.771363,-73.968777,40.754633,1
68758,2013-12-18 21:07:50.0000001,8.0,2013-12-18 21:07:50 UTC,-74.00246899999998,40.74504,-73.98885600000001,40.734845,1
12791,2014-11-03 17:37:30.0000001,9.5,2014-11-03 17:37:30 UTC,0.0,0.0,0.0,0.0,2
16238,2011-07-01 11:07:21.0000002,6.5,2011-07-01 11:07:21 UTC,-74.009699,40.722844,-73.999515,40.721833,1
50881,2014-12-06 14:35:00.000000230,6.5,2014-12-06 14:35:00 UTC,-73.979715,40.758242,-73.968257,40.762075,1
94930,2014-01-06 19:51:53.0000007,7.5,2014-01-06 19:51:53 UTC,-73.96614,40.759626,-73.948188,40.776379,1
58922,2012-11-10 16:37:00.000000136,11.5,2012-11-10 16:37:00 UTC,-73.988782,40.755275,-73.960802,40.775817,3
29801,2012-01-03 18:16:39.0000003,6.5,2012-01-03 18:16:39 UTC,-73.96453100000002,40.770463,-73.96786999999998,40.756212,1
2512,2012-03-17 19:44:44.0000001,5.7,2012-03-17 19:44:44 UTC,-73.96680500000002,40.758225,-73.981949,40.763053,1
57832,2010-11-17 03:03:12.0000002,14.1,2010-11-17 03:03:12 UTC,-73.985171,40.753427,-73.955787,40.715683,1
55620,2013-01-19 12:08:04.0000003,7.5,2013-01-19 12:08:04 UTC,-73.99135,40.750073,-73.985799,40.740876,1
68881,2013-04-12 14:43:00.000000144,55.0,2013-04-12 14:43:00 UTC,-73.776837,40.64548,-73.962265,40.70994500000001,5
52712,2015-06-22 23:33:04.0000005,35.5,2015-06-22 23:33:04 UTC,-73.78762817382812,40.64158248901367,-73.95223236083984,40.69956588745117,2
99591,2014-11-20 08:54:04.0000002,12.5,2014-11-20 08:54:04 UTC,-73.980137,40.74828,-73.962582,40.755735,1
96645,2011-08-29 11:13:00.00000041,27.7,2011-08-29 11:13:00 UTC,-73.87007,40.773219,-73.965772,40.75436,3
84050,2013-04-19 16:15:00.000000125,4.5,2013-04-19 16:15:00 UTC,-73.977655,40.755542,-73.973477,40.753615,1
48991,2012-01-30 21:40:00.00000072,22.1,2012-01-30 21:40:00 UTC,-73.95809200000002,40.717508,-74.01082,40.641172,1
88907,2010-04-18 17:35:00.00000075,6.5,2010-04-18 17:35:00 UTC,-73.97563000000002,40.763925,-73.994442,40.766162,1
68933,2012-08-28 13:34:08.0000001,6.9,2012-08-28 13:34:08 UTC,-73.98971999999998,40.747423,-73.972263,40.75574500000001,1
58570,2013-04-30 08:41:13.0000001,3.5,2013-04-30 08:41:13 UTC,-74.006631,40.732185,-74.000456,40.734655,1
37353,2013-10-10 04:38:30.0000001,52.0,2013-10-10 04:38:30 UTC,-73.958682,40.768558,-73.790638,40.64665,1
62048,2011-01-23 00:29:00.00000082,5.3,2011-01-23 00:29:00 UTC,-74.00072,40.72354,-74.006263,40.733635,1
3474,2011-02-26 13:16:43.0000002,12.1,2011-02-26 13:16:43 UTC,-73.982762,40.753991,-73.990041,40.774747,3
72915,2011-11-27 19:45:00.00000021,4.5,2011-11-27 19:45:00 UTC,-73.984882,40.739565,-73.975178,40.744563,1
2913,2014-10-02 18:30:00.000000180,23.5,2014-10-02 18:30:00 UTC,-73.960212,40.772192,-74.01068199999997,40.705647,1
80804,2012-01-29 12:58:00.00000050,6.1,2012-01-29 12:58:00 UTC,-73.966157,40.77366,-73.978658,40.761798,5
12119,2011-05-12 10:38:00.00000079,8.5,2011-05-12 10:38:00 UTC,-73.952793,40.77237,-73.967632,40.76315200000001,1
56370,2014-09-09 20:52:00.00000020,30.5,2014-09-09 20:52:00 UTC,-73.98809,40.75412,-73.953843,40.702202,1
4263,2013-09-13 19:58:46.0000005,6.0,2013-09-13 19:58:46 UTC,-73.96361999999998,40.757016,-73.959949,40.769518,1
59393,2009-08-28 19:02:01.0000002,6.1,2009-08-28 19:02:01 UTC,-74.001213,40.741682,-73.98609499999998,40.735994,1
89957,2010-03-12 07:03:00.00000075,8.9,2010-03-12 07:03:00 UTC,-73.98355500000002,40.73015,-73.98182800000002,40.758532,5
77803,2014-12-06 08:58:13.0000001,7.5,2014-12-06 08:58:13 UTC,-73.928038,40.769811,-73.94073,40.750561,1
51339,2013-10-04 10:47:00.00000098,10.0,2013-10-04 10:47:00 UTC,-73.97511,40.759692,-73.952507,40.768385,5
24629,2010-10-10 12:26:00.000000156,6.9,2010-10-10 12:26:00 UTC,-73.948695,40.78224,-73.967682,40.76275800000001,1
54667,2012-09-26 20:18:44.0000004,10.5,2012-09-26 20:18:44 UTC,-73.949084,40.785181,-73.953564,40.811236,1
90846,2011-06-30 07:15:24.0000002,5.3,2011-06-30 07:15:24 UTC,-73.970639,40.752177,-73.97399200000002,40.759355,1
614,2012-03-03 08:36:00.00000075,7.3,2012-03-03 08:36:00 UTC,-73.980987,40.737717,-73.99671500000002,40.716497,1
43251,2009-07-20 02:09:54.0000001,6.5,2009-07-20 02:09:54 UTC,-74.004312,40.742411,-73.992468,40.733063,2
85137,2010-01-08 17:58:14.0000003,10.1,2010-01-08 17:58:14 UTC,-73.96631,40.765013,-73.983466,40.75916,2
42768,2011-07-13 16:11:00.000000102,40.1,2011-07-13 16:11:00 UTC,-73.790087,40.64671,-73.733145,40.793548,5
93667,2009-02-25 09:15:00.00000057,3.3,2009-02-25 09:15:00 UTC,-73.991848,40.74955300000001,-73.995767,40.743977,1
61324,2013-08-05 10:24:16.0000002,57.33,2013-08-05 10:24:16 UTC,-73.989118,40.771703,-73.79034399999998,40.643795,2
69301,2009-01-20 10:46:01.0000002,16.1,2009-01-20 10:46:01 UTC,-74.016141,40.710678,-73.971225,40.686162,1
24827,2013-02-09 21:00:00.000000174,4.5,2013-02-09 21:00:00 UTC,-73.98881300000002,40.77408,-73.98637,40.767235,1
64607,2010-04-19 17:17:00.000000140,7.7,2010-04-19 17:17:00 UTC,-73.975022,40.75572800000001,-73.95530699999998,40.776862,1
90595,2014-01-05 14:48:00.00000063,103.58,2014-01-05 14:48:00 UTC,0.0,0.0,0.0,0.0,1
46550,2013-04-15 08:38:26.0000003,10.0,2013-04-15 08:38:26 UTC,-73.98954300000003,40.754272,-73.97561999999998,40.761093,1
58706,2009-01-21 09:56:07.0000002,16.9,2009-01-21 09:56:07 UTC,-73.954127,40.787179,-73.98902199999998,40.738796,1
52108,2010-06-14 20:06:08.0000005,16.5,2010-06-14 20:06:08 UTC,-74.010083,40.720036,-73.971228,40.797722,1
13415,2010-04-06 16:03:00.00000021,5.7,2010-04-06 16:03:00 UTC,-73.9949,40.725593,-73.98628199999997,40.739937,1
34165,2014-05-17 21:16:00.000000222,6.5,2014-05-17 21:16:00 UTC,-74.009475,40.704392,-74.014482,40.715542,4
931,2011-07-31 17:33:00.000000102,8.9,2011-07-31 17:33:00 UTC,-73.976795,40.759217,-73.98928199999997,40.778558,5
53316,2011-10-01 23:51:00.000000144,4.5,2011-10-01 23:51:00 UTC,-73.977182,40.75542,-73.966207,40.75865,1
76432,2014-08-15 08:33:00.000000101,57.33,2014-08-15 08:33:00 UTC,-73.982718,40.767012,0.0,0.0,2
75219,2009-07-15 22:39:00.000000108,8.5,2009-07-15 22:39:00 UTC,-73.972897,40.758855,-73.9865,40.77891,1
25553,2013-01-15 19:27:51.0000003,15.5,2013-01-15 19:27:51 UTC,-73.997206,40.736803,-73.99061400000002,40.69135900000001,1
78454,2012-12-09 12:42:00.0000008,6.5,2012-12-09 12:42:00 UTC,-73.97882299999998,40.786025,-73.982332,40.775292,6
2605,2009-03-22 07:58:00.00000036,32.5,2009-03-22 07:58:00 UTC,-73.973903,40.746793,-73.889337,40.858998,1
23247,2014-06-29 10:05:30.0000002,20.0,2014-06-29 10:05:30 UTC,-73.966471,40.803975,-73.99804499999998,40.74122,2
84919,2010-01-07 14:43:23.0000004,4.1,2010-01-07 14:43:23 UTC,-73.980092,40.765429,-73.990301,40.769917,1
92532,2009-10-17 10:57:20.0000003,11.7,2009-10-17 10:57:20 UTC,-73.95870500000002,40.781185,-73.983642,40.737337,1
71784,2010-05-11 08:53:34.0000003,17.7,2010-05-11 08:53:34 UTC,-73.97369599999998,40.75647,-74.016535,40.704749,2
30979,2014-07-20 15:32:27.0000001,12.5,2014-07-20 15:32:27 UTC,-73.990709,40.751139,-73.989389,40.72308,1
77900,2013-02-17 22:33:15.0000001,22.5,2013-02-17 22:33:15 UTC,-73.990577,40.751195,-73.911294,40.778188,1
5944,2009-09-26 16:09:33.0000004,13.7,2009-09-26 16:09:33 UTC,-73.990978,40.750325,-74.014107,40.703656,1
19550,2015-01-10 08:23:45.0000002,6.0,2015-01-10 08:23:45 UTC,-73.9855728149414,40.75640869140625,-73.99356842041014,40.75114822387695,1
26371,2010-07-03 23:50:00.00000093,5.7,2010-07-03 23:50:00 UTC,0.0,0.0,0.0,0.0,2
